-2.4566576351882095,
-2.0185348006440407,
-3.5467487751346756,
-2.055989736653732,
-0.40045415878719837,
-0.9088250901572401,
-0.4399937508458329,
0.04753327792921169,
0.26898679599486286,
1.5438712777047492,
-0.1744658852987655,
2.2809792428916396,
0.5316789237453925,
3.0052344722296596,
1.457470907846993,
2.261940581970009,
2.485386621828777,
6.450922584286669,
3.812129769419567,
3.1311249807227988,
3.140547098519548,
2.1099526388914995,
0.016893369415452497,
-0.06837253527529086,
-1.4536248456654324,
-1.8395818650378484,
0.497435668954882,
-0.38615197902744924,
-2.1961091795033187,
-3.1953068826845943,
-2.082741439149297,
-1.5929934064823836,
-2.6992519970217828,
-1.8049143531566614,
-2.7461852307057306,
-2.9046383846398527,
-1.0939901598162276,
-1.809755129024472,
-2.305784755377692,
-2.463659842798762,
-3.404179312193044,
0.5433751187722322,
-0.950054330657121,
0.8933718098132228,
0.9212522064239845,
1.472604769681416,
0.5353650192229296,
3.355528116543608,
2.791319141576807,
3.444061066298749,
